date,value
2023-01-01,209.93428306022466
2023-01-02,407.168997036801
2023-01-03,620.1227677988148
2023-01-04,850.5833649269754
2023-01-05,1045.9002974325088
2023-01-06,1241.2175582935251
2023-01-07,1472.801814603673
2023-01-08,1688.1505091867311
2023-01-09,1878.7610214680321
2023-01-10,2089.6122223397515
2023-01-11,2280.3438684835023
2023-01-12,2471.029273412097
2023-01-13,2675.868518843418
2023-01-14,2837.602913950262
2023-01-15,3003.1045573000015
2023-01-16,3191.8588067151823
2023-01-17,3371.6021843084936
2023-01-18,3577.887130960399
2023-01-19,3759.726649449975
2023-01-20,3931.4805754232693
2023-01-21,4160.793550801701
2023-01-22,4356.27802479197
2023-01-23,4557.628588885728
2023-01-24,4729.133625161459
2023-01-25,4918.245970670956
2023-01-26,5120.464422465153
2023-01-27,5297.444550916707
2023-01-28,5504.95851128362
2023-01-29,5692.9457374852445
2023-01-30,5887.111862489379
2023-01-31,6075.0777302447905
2023-02-01,6312.123293934969
2023-02-02,6511.853349440211
2023-02-03,6690.699130861093
2023-02-04,6907.150029103157
2023-02-05,7082.733156103736
2023-02-06,7286.910428003832
2023-02-07,7447.717025526236
2023-02-08,7621.153304548267
2023-02-09,7825.09052926565
2023-02-10,8039.859860865558
2023-02-11,8243.287226489358
2023-02-12,8440.974260841593
2023-02-13,8634.952186929808
2023-02-14,8805.38174712246
2023-02-15,8990.984862954565
2023-02-16,9181.77208753537
2023-02-17,9402.914532059747
2023-02-18,9609.786897851116
2023-02-19,9774.526094743862
2023-02-20,9981.007774131758
2023-02-21,10173.306128523433
2023-02-22,10359.767688517313
2023-02-23,10572.00121429413
2023-02-24,10792.62120474405
2023-02-25,11011.246807126374
2023-02-26,11194.46245666192
2023-02-27,11388.278209144895
2023-02-28,11594.903477772967
2023-03-01,11814.414380315415
2023-03-02,12004.830895558509
2023-03-03,12201.117716025232
2023-03-04,12378.991016545111
2023-03-05,12555.066884063497
2023-03-06,12771.317400511381
2023-03-07,12998.442201082798
2023-03-08,13197.001998651192
2023-03-09,13417.072656609032
2023-03-10,13624.305377109986
2023-03-11,13811.402982017884
2023-03-12,14018.630894128051
2023-03-13,14249.39162545737
2023-03-14,14448.67510467517
2023-03-15,14679.96797779145
2023-03-16,14827.573075709655
2023-03-17,15044.01112579716
2023-03-18,15245.752067161924
2023-03-19,15439.771920152607
2023-03-20,15641.607135683316
2023-03-21,15801.855757391299
2023-03-22,15997.46231963455
2023-03-23,16204.604571064785
2023-03-24,16434.162451959615
2023-03-25,16623.797047594144
2023-03-26,16807.62717553628
2023-03-27,16997.592034664587
2023-03-28,17215.90007701863
2023-03-29,17422.47509921182
2023-03-30,17611.87989513648
2023-03-31,17822.145243798746
2023-04-01,18024.086794785708
2023-04-02,18243.459694596364
2023-04-03,18429.418632718818
2023-04-04,18622.865389786864
2023-04-05,18815.02322672422
2023-04-06,18985.75292776158
2023-04-07,19191.675333302872
2023-04-08,19396.89643874647
2023-04-09,19596.99870787932
2023-04-10,19792.306965211817
2023-04-11,19963.99955037081
2023-04-12,20155.5866439155
2023-04-13,20348.732353584965
2023-04-14,20532.68680820053
2023-04-15,20729.46109396721
2023-04-16,20937.5421111035
2023-04-17,21175.26582912771
2023-04-18,21378.75738538435
2023-04-19,21583.908393198806
2023-04-20,21782.41947488348
2023-04-21,21944.0440505775
2023-04-22,22143.513773068516
2023-04-23,22344.718377267338
2023-04-24,22593.983219517042
2023-04-25,22790.13600022142
2023-04-26,22996.166947068094
2023-04-27,23195.47271167399
2023-04-28,23372.099150921596
2023-04-29,23594.955607211898
2023-04-30,23809.994267865633
2023-05-01,24025.814906806496
2023-05-02,24207.6271577106
2023-05-03,24435.683043929323
2023-05-04,24607.646022673478
2023-05-05,24819.383164549483
2023-05-06,25063.192277065682
2023-05-07,25243.38155056307
2023-05-08,25432.055595971015
2023-05-09,25634.048623272767
2023-05-10,25823.979110190445
2023-05-11,25992.965841569123
2023-05-12,26194.337101065244
2023-05-13,26373.091026790724
2023-05-14,26582.562875403426
2023-05-15,26764.17439071875
2023-05-16,26995.173078819098
2023-05-17,27179.508012972372
2023-05-18,27373.066782648257
2023-05-19,27589.33712699565
2023-05-20,27764.719840666974
2023-05-21,27969.269039359056
2023-05-22,28195.411894444704
2023-05-23,28363.26222975348
2023-05-24,28566.954906924126
2023-05-25,28772.152562809093
2023-05-26,28987.78902024464
2023-05-27,29163.05000602708
2023-05-28,29336.640873765395
2023-05-29,29547.079705077733
2023-05-30,29753.019398542398
2023-05-31,29958.029255549314
2023-06-01,30164.958219739252
2023-06-02,30351.357725307684
2023-06-03,30556.002799250902
2023-06-04,30761.864248716876
2023-06-05,30947.57722035635
2023-06-06,31184.892710579246
2023-06-07,31394.369368997483
2023-06-08,31570.54329905343
2023-06-09,31783.674371226105
2023-06-10,31964.18073782156
2023-06-11,32179.922429896407
