date,value
2023-01-01,220.6
2023-01-02,218.25
2023-01-03,215.43
2023-01-04,206.96
2023-01-05,178.71
2023-01-06,182.71
2023-01-07,216.62
2023-01-08,224.27
2023-01-09,215.9
2023-01-10,215.34
2023-01-11,188.06
2023-01-12,177.36
2023-01-13,188.43
2023-01-14,182.65
2023-01-15,200.31
2023-01-16,215.94
2023-01-17,200.75
2023-01-18,196.8
2023-01-19,173.89
2023-01-20,172.85
2023-01-21,217.4
2023-01-22,216.26
2023-01-23,223.2
2023-01-24,197.59
2023-01-25,189.18
2023-01-26,185.04
2023-01-27,176.42
2023-01-28,207.47
2023-01-29,213.48
2023-01-30,220.57
2023-01-31,206.78
2023-02-01,214.1
2023-02-02,184.76
2023-02-03,178.32
2023-02-04,212.9
2023-02-05,208.24
2023-02-06,226.53
2023-02-07,194.16
2023-02-08,183.26
2023-02-09,187.83
2023-02-10,197.24
2023-02-11,207.35
2023-02-12,220.25
2023-02-13,222.39
2023-02-14,199.94
2023-02-15,190.31
2023-02-16,182.21
2023-02-17,201.39
2023-02-18,210.03
2023-02-19,204.74
2023-02-20,229.61
2023-02-21,211.83
2023-02-22,191.7
2023-02-23,193.9
2023-02-24,202.09
2023-02-25,216.87
2023-02-26,214.94
2023-02-27,224.24
2023-02-28,219.96
2023-03-01,209.18
2023-03-02,183.95
2023-03-03,190.89
2023-03-04,197.45
2023-03-05,212.33
2023-03-06,236.42
2023-03-07,231.17
2023-03-08,199.67
2023-03-09,199.74
2023-03-10,197.32
2023-03-11,203.03
2023-03-12,228.87
2023-03-13,244.63
2023-03-14,218.21
2023-03-15,217.0
2023-03-16,164.47
2023-03-17,202.88
2023-03-18,211.31
2023-03-19,223.22
2023-03-20,231.13
2023-03-21,199.65
2023-03-22,200.11
2023-03-23,195.2
2023-03-24,210.41
2023-03-25,206.22
2023-03-26,219.09
2023-03-27,226.16
2023-03-28,229.64
2023-03-29,206.56
2023-03-30,187.29
2023-03-31,201.72
2023-04-01,213.33
2023-04-02,237.82
2023-04-03,225.12
2023-04-04,218.18
2023-04-05,200.31
2023-04-06,178.92
2023-04-07,200.51
2023-04-08,215.93
2023-04-09,229.15
2023-04-10,230.75
2023-04-11,208.26
2023-04-12,200.99
2023-04-13,191.09
2023-04-14,190.49
2023-04-15,212.67
2023-04-16,234.1
2023-04-17,252.92
2023-04-18,225.12
2023-04-19,208.73
2023-04-20,194.73
2023-04-21,180.29
2023-04-22,214.98
2023-04-23,231.62
2023-04-24,259.65
2023-04-25,222.41
2023-04-26,210.13
2023-04-27,196.09
2023-04-28,188.75
2023-04-29,227.64
2023-04-30,239.5
2023-05-01,243.89
2023-05-02,216.2
2023-05-03,222.11
2023-05-04,183.38
2023-05-05,207.26
2023-05-06,239.07
2023-05-07,223.04
2023-05-08,231.28
2023-05-09,227.26
2023-05-10,204.01
2023-05-11,182.85
2023-05-12,203.04
2023-05-13,207.51
2023-05-14,238.64
2023-05-15,228.71
2023-05-16,242.72
2023-05-17,202.17
2023-05-18,196.1
2023-05-19,211.45
2023-05-20,206.78
2023-05-21,237.14
2023-05-22,251.94
2023-05-23,212.11
2023-05-24,212.81
2023-05-25,202.88
2023-05-26,212.1
2023-05-27,207.69
2023-05-28,222.62
2023-05-29,245.05
2023-05-30,232.11
2023-05-31,214.43
2023-06-01,204.71
2023-06-02,198.44
2023-06-03,223.34
2023-06-04,239.72
2023-06-05,233.65
2023-06-06,248.76
2023-06-07,217.63
2023-06-08,190.29
2023-06-09,212.77
2023-06-10,212.23
2023-06-11,245.62
2023-06-12,253.34
2023-06-13,222.86
2023-06-14,223.48
2023-06-15,207.29
2023-06-16,215.39
2023-06-17,241.91
2023-06-18,236.26
2023-06-19,235.18
2023-06-20,223.13
2023-06-21,206.65
2023-06-22,203.36
2023-06-23,211.54
2023-06-24,226.67
2023-06-25,247.95
2023-06-26,243.8
2023-06-27,247.53
2023-06-28,213.13
2023-06-29,232.29
2023-06-30,215.35
2023-07-01,216.29
2023-07-02,229.93
2023-07-03,249.46
2023-07-04,231.72
2023-07-05,223.87
2023-07-06,210.78
2023-07-07,209.32
2023-07-08,217.36
2023-07-09,226.45
2023-07-10,241.13
2023-07-11,243.48
2023-07-12,219.84
2023-07-13,194.56
2023-07-14,212.74
2023-07-15,230.64
2023-07-16,233.72
2023-07-17,248.1
2023-07-18,236.46
2023-07-19,207.23
2023-07-20,211.55
2023-07-21,217.58
2023-07-22,238.58
2023-07-23,254.06
2023-07-24,233.74
2023-07-25,227.46
2023-07-26,224.77
2023-07-27,214.07
2023-07-28,218.09
2023-07-29,267.24
2023-07-30,250.19
2023-07-31,259.84
2023-08-01,247.34
2023-08-02,227.09
2023-08-03,206.74
2023-08-04,221.49
2023-08-05,221.94
2023-08-06,243.08
2023-08-07,244.59
2023-08-08,239.58
2023-08-09,244.69
2023-08-10,192.19
2023-08-11,221.72
2023-08-12,214.5
2023-08-13,241.69
2023-08-14,261.29
2023-08-15,240.36
2023-08-16,211.73
2023-08-17,204.67
2023-08-18,222.62
2023-08-19,224.29
2023-08-20,249.53
2023-08-21,251.82
2023-08-22,234.17
2023-08-23,244.9
2023-08-24,219.12
2023-08-25,196.53
2023-08-26,234.42
2023-08-27,241.71
2023-08-28,260.85
2023-08-29,233.72
2023-08-30,223.28
2023-08-31,218.79
2023-09-01,226.4
2023-09-02,221.51
2023-09-03,245.95
2023-09-04,248.54
2023-09-05,236.07
2023-09-06,243.04
2023-09-07,218.75
2023-09-08,206.1
2023-09-09,243.66
2023-09-10,271.47
2023-09-11,264.58
2023-09-12,228.37
2023-09-13,221.51
2023-09-14,228.34
2023-09-15,212.59
2023-09-16,239.88
2023-09-17,258.96
2023-09-18,245.94
2023-09-19,243.93
2023-09-20,194.9
2023-09-21,206.38
2023-09-22,218.1
2023-09-23,223.92
2023-09-24,268.5
2023-09-25,241.87
2023-09-26,241.09
2023-09-27,229.58
2023-09-28,232.0
2023-09-29,207.23
2023-09-30,248.99
2023-10-01,253.24
2023-10-02,247.32
2023-10-03,251.07
2023-10-04,231.23
2023-10-05,212.55
2023-10-06,223.25
2023-10-07,234.47
2023-10-08,255.23
2023-10-09,264.72
2023-10-10,263.27
2023-10-11,217.82
2023-10-12,240.84
2023-10-13,203.99
2023-10-14,237.77
2023-10-15,260.94
2023-10-16,261.87
2023-10-17,242.15
2023-10-18,229.08
2023-10-19,215.54
2023-10-20,218.58
2023-10-21,248.74
2023-10-22,259.59
2023-10-23,253.09
2023-10-24,258.33
2023-10-25,235.19
2023-10-26,229.56
2023-10-27,231.73
2023-10-28,232.92
2023-10-29,251.38
2023-10-30,268.46
2023-10-31,256.4
2023-11-01,232.87
2023-11-02,223.57
2023-11-03,239.17
2023-11-04,236.25
2023-11-05,263.42
2023-11-06,259.92
2023-11-07,249.08
2023-11-08,245.03
2023-11-09,231.61
2023-11-10,235.49
2023-11-11,256.19
2023-11-12,259.12
2023-11-13,269.72
2023-11-14,249.12
2023-11-15,238.25
2023-11-16,223.02
2023-11-17,229.29
2023-11-18,250.04
2023-11-19,251.69
2023-11-20,284.79
2023-11-21,243.12
2023-11-22,223.82
2023-11-23,236.86
2023-11-24,237.2
2023-11-25,251.3
2023-11-26,267.11
2023-11-27,264.71
2023-11-28,245.17
2023-11-29,237.68
2023-11-30,219.47
2023-12-01,239.99
2023-12-02,244.55
2023-12-03,253.54
2023-12-04,262.58
2023-12-05,259.24
2023-12-06,232.25
2023-12-07,218.98
2023-12-08,233.64
2023-12-09,249.43
2023-12-10,257.68
2023-12-11,262.04
2023-12-12,258.39
2023-12-13,224.37
2023-12-14,214.09
2023-12-15,224.98
2023-12-16,245.81
2023-12-17,266.82
2023-12-18,282.47
2023-12-19,265.61
2023-12-20,238.21
2023-12-21,228.94
2023-12-22,223.1
2023-12-23,248.72
2023-12-24,261.79
2023-12-25,271.9
2023-12-26,249.72
2023-12-27,245.97
2023-12-28,245.42
2023-12-29,233.0
2023-12-30,253.88
2023-12-31,272.54
